Boyut_Bayt,Sifir_Orani,Ortalama_Entropi,Toplam_API,Supheli_API,Etiket
921600,16.2,3.336,182,1,0
214551,22.47,3.78,51,0,0
138568,11.29,3.212,86,0,0
36192,20.08,2.919,1,0,0
33120,11.76,2.829,1,0,0
373600,21.72,3.065,1,0,0
56344,18.65,2.978,1,0,0
31144,24.02,2.748,1,0,0
674656,21.62,3.061,1,0,0
44368,22.02,2.65,1,0,0
8192,40.44,2.994,1,0,0
630784,19.6,2.616,330,0,0
20480,25.06,2.616,1,0,0
5632,53.46,2.496,1,0,0
5632,55.01,2.836,0,0,0
122368,24.22,2.859,1,0,0
166456,22.76,2.966,1,0,0
227128,11.73,3.238,1,0,0
6144,49.3,2.667,1,0,0
32840,26.91,3.023,0,0,0
12288,44.06,2.782,37,1,0
440136,11.51,5.13,176,1,0
205752,16.34,4.948,194,1,0
173440,35.18,2.931,118,0,0
31880,9.8,2.75,1,0,0
130872,21.87,4.032,1,0,0
800768,15.44,4.82,99,1,0
198520,23.31,2.951,1,0,0
2049824,11.58,4.064,296,1,0
109136,16.85,4.978,139,0,0
56320,28.51,2.801,1,0,0
25912,21.99,3.303,0,0,0
5120,52.27,2.596,1,0,0
1180072,20.44,4.16,220,4,0
285624,20.74,4.406,124,1,0
16696,20.41,2.736,1,0,0
37024,21.19,3.81,0,0,0
18216,19.51,2.809,1,0,0
28544,19.23,2.819,1,0,0
23904,19.66,2.703,1,0,0
547128,13.22,4.926,198,1,0
61352,16.94,3.297,65,1,0
15184,19.73,2.608,1,0,0
105608,16.44,3.111,1,0,0
79184,19.44,2.691,1,0,0
1318432,29.09,5.332,134,1,0
41256,26.78,2.614,1,0,0
34640,46.49,2.328,0,0,0
15712,19.25,2.631,1,0,0
18592,19.38,2.675,1,0,0
983480,13.8,5.296,654,1,0
221856,14.77,5.067,0,0,0
909824,9.37,4.728,93,1,0
20360,19.18,2.711,1,0,0
333824,15.42,5.091,154,1,0
209920,26.32,2.764,1,0,0
86328,17.44,2.506,1,0,0
31528,19.96,3.07,1,0,0
58680,18.74,2.832,1,0,0
40960,66.7,1.486,43,0,0
17208,18.92,2.791,1,0,0
235448,15.54,3.323,366,1,0
34656,20.78,3.217,1,0,0
49152,62.7,1.676,25,0,0
6144,48.37,3.042,0,0,0
22696,14.72,2.702,1,0,0
103864,18.0,4.526,184,1,0
41456,14.34,2.738,17,0,0
59176,21.19,3.05,1,0,0
101040,19.85,5.015,0,0,0
27128,11.79,2.837,1,0,0
64336,18.62,2.61,1,0,0
1556480,14.4,4.035,432,1,0
16127824,16.29,5.817,0,0,0
2865480,14.36,3.352,214,2,0
88864,21.7,3.011,1,0,0
204336,27.12,4.824,142,0,0
274432,37.83,2.838,124,0,0
2537984,18.13,4.609,227,1,0
5632,49.2,2.713,1,0,0
70968,21.44,3.04,1,0,0
526848,18.06,4.196,46,1,0
3751976,13.89,5.066,72,1,0
304800,50.66,3.564,0,0,0
24096,21.4,2.664,1,0,0
34944,22.24,2.953,1,0,0
84480,46.0,2.977,0,0,0
4096,57.84,2.86,0,0,0
970352,15.77,4.615,186,1,0
28984,15.72,3.173,1,0,0
265264,29.91,4.525,128,0,0
14880,19.89,2.374,1,0,0
620520,18.25,4.761,143,1,0
36692336,17.54,4.279,456,2,0
303416,18.38,5.139,269,4,0
4973896,15.37,3.814,265,5,0
18624,8.25,4.107,0,0,0
27704,20.03,3.206,0,0,0
1362368,14.9,3.261,143,2,0
27944,25.25,2.812,1,0,0
2694296,25.31,2.816,1,0,0
313640,18.94,2.689,1,0,0
14848,43.59,2.495,1,0,0
145920,21.98,3.004,1,0,0
5120,55.76,2.52,1,0,0
16720,19.17,2.725,1,0,0
5120,52.03,2.607,1,0,0
61952,13.5,2.631,1,0,0
15672,19.48,2.569,1,0,0
2062392,9.7,4.391,1,0,0
2560,57.93,2.983,0,0,0
198072,13.95,4.5,151,1,0
20280,27.9,2.415,23,0,0
145760,30.52,3.575,1,0,0
21304,20.54,2.776,1,0,0
18504,19.66,2.859,1,0,0
20480,51.21,2.84,0,0,0
48504,25.56,3.654,174,1,0
17192,17.93,2.819,1,0,0
1181536,12.62,3.841,109,1,0
92600,16.3,3.734,118,1,0
12288,90.89,1.15,0,0,0
58680,16.1,2.848,1,0,0
19293112,28.09,2.247,1,0,0
112424,28.06,3.891,0,0,0
155680,21.28,3.111,1,0,0
16224,17.88,2.776,1,0,0
40960,66.53,1.486,34,0,0
83968,51.01,2.767,0,0,0
125952,25.28,2.875,1,0,0
20304,19.05,2.754,1,0,0
98304,35.7,2.523,127,0,0
46888,41.97,2.69,0,0,0
352464,15.55,3.639,85,0,0
24888,15.55,2.907,1,0,0
1306624,15.95,3.672,328,1,0
18216,21.81,2.564,1,0,0
359864,16.87,5.226,472,1,0
32256,52.55,2.744,0,0,0
531280,17.07,2.87,1,0,0
25384,20.53,2.776,1,0,0
38624,13.6,2.989,1,0,0
813344,66.21,0.604,0,0,0
111928,22.71,3.104,1,0,0
54568,22.06,3.037,1,0,0
475432,19.14,2.658,1,0,0
78336,48.67,2.866,0,0,0
23552,35.13,2.697,1,0,0
229376,32.44,2.373,1,0,0
24920,26.54,1.855,1,0,0
16224,18.06,2.883,1,0,0
61104,13.1,2.913,1,0,0
171320,12.24,3.374,1,0,0
18216,21.59,2.679,1,0,0
1874352,28.52,2.74,1,0,0
48440,19.47,2.76,1,0,0
16560,17.36,2.832,1,0,0
115096,40.51,2.851,0,0,0
19240,19.87,2.817,1,0,0
418024,11.02,4.894,104,1,0
20250368,32.68,4.353,241,2,0
53048,27.34,3.343,1,0,0
1062248,15.52,4.246,40,1,0
2184632,13.72,5.405,1200,1,0
13880,15.13,3.146,0,0,0
1373232,28.41,2.856,1,0,0
17824,19.13,2.759,1,0,0
16168,18.77,2.688,1,0,0
54784,29.23,2.768,1,0,0
81920,44.53,2.124,141,1,0
317496,19.89,4.569,102,1,0
7984440,20.34,5.132,471,1,0
13864,16.43,3.664,0,0,0
126976,41.56,2.463,47,0,0
158720,23.08,2.876,1,0,0
22720,13.32,3.992,0,0,0
62464,29.6,2.658,1,0,0
210872,16.71,5.014,218,1,0
197632,22.06,4.763,91,1,0
19240,20.68,2.82,1,0,0
5632,53.36,3.184,0,0,0
21944,16.77,3.02,1,0,0
15656,19.8,2.674,1,0,0
19280,19.19,2.803,1,0,0
18744,19.64,2.805,1,0,0
31032,18.1,2.836,1,0,0
4608,53.28,3.018,0,0,0
14408,14.73,3.229,0,0,0
16208,16.49,3.118,1,0,0
